Habitat,Latitude,Longitude,Water_cont,Silt/clay content,NDVI,Inundation proportion,AL,TA,XF,PA,PI,HF,MB
Mangroves,23.36038,120.13006,0.311482451,0.021261754,0.5616798,0.559032577,1,0,0,1,1,0,0
Mangroves,23.225797,120.085361,0.322286571,0.115194805,0.36270493,0.431026581,0,0,0,0,1,0,0
Mangroves,24.396811,120.595526,0.642915279,0.346394406,0.741068,0.098298115,0,1,0,0,1,1,0
Poaceae,24.319839,120.550554,0.3352156,0.437020813,0.4187884,0.023464007,1,1,0,1,0,0,0
Mangroves,24.194367,120.508674,0.236449778,0.150424101,0.54821664,0.098298115,0,1,0,1,1,0,0
Mangroves,24.010334,120.3534802,0.349292049,0.171181465,0.20665742,0.268280982,0,0,0,0,1,0,0
Mangroves,24.19444355,120.5091692,0.303463447,0.4996,0.495285153,0.116963192,0,1,0,1,1,0,1
Bare mudflat,23.9296612,120.3135619,0.354685875,0.377238098,0.26241136,0.104428087,1,1,0,1,0,0,1
Mangroves,24.301856,120.546185,0.2808075,0.638412216,0.37449664,0.033321871,1,1,0,1,1,0,0
Mangroves,24.301747,120.546146,0.266426536,0.317065761,0.37173477,0.033321871,1,1,0,1,1,0,0
Poaceae,24.317162,120.549709,0.308600795,0.308488177,-0.010014306,0.040944521,1,0,0,1,0,0,0
Mangroves,24.397149,120.59505,0.455772879,0.254392202,0.67887324,0.098298115,1,1,0,0,1,0,0
Mangroves,23.325916,120.139276,0.386104522,0.431897225,0.3588741,0.098298115,0,1,0,1,0,0,0
Mangroves,24.194679,120.508364,0.320488028,0.382334108,0.20222317,0.098298115,1,1,0,1,0,0,0
Poaceae,24.319469,120.550732,0.279961577,0.395067005,0.43015727,0.022604226,0,0,0,1,0,0,0
Mangroves,24.302009,120.546149,0.336201391,0.441103328,0.35680434,0.033321871,1,1,0,1,0,0,0
Mangroves,24.302097,120.546017,0.305626524,0.307489502,0.3376206,0.033321871,0,1,0,1,1,0,0
Mangroves,24.194506,120.50687,0.400147154,0.40399557,0.51892745,0.087035979,0,1,0,1,1,0,0
Mangroves,23.934953,120.317903,0.516335079,0.327629227,0.75358933,0.098298115,0,0,0,1,1,0,0
Bare mudflat,23.9348389,120.3180143,0.216546233,0.299706576,0.33697134,0.005631499,1,1,1,1,0,0,0
Poaceae,24.320073,120.55072,0.260674565,0.387112227,0.46354637,0.022604226,0,1,0,1,0,0,0
Sporobolus spp,24.315039,120.550513,0.306811965,0.359212564,0.13536201,0.098298115,1,1,1,1,0,1,0
Bare mudflat,23.450088,120.179581,0.299205948,0.236341506,0.11170929,0.004792002,1,1,0,0,0,0,1
Mangroves,24.397396,120.59477,0.299803683,0.183814625,0.56153053,0.098298115,1,1,0,0,1,0,0
Mangroves,23.325845,120.139385,0.439246075,0.499711365,0.39939025,0.098298115,0,0,0,0,1,0,0
Mangroves,24.369999,120.581852,0.314171106,0.273691141,0.33968255,0.081728565,1,1,0,1,1,0,0
Mangroves,24.301528,120.545784,0.284835906,0.290596169,0.23918448,0.091540157,1,0,1,1,0,0,0
Bare mudflat,24.19545,120.507878,0.272857118,0.434163637,0.24675325,0.001341128,0,1,1,0,1,0,0
Mangroves,24.195575,120.507985,0.273649736,0.34392736,0.36495888,0.098298115,1,1,1,0,0,1,0
Mangroves,24.178332,120.510453,0.56036332,0.337373108,0.30604288,0.031501999,0,1,0,1,1,0,0
Bare mudflat,24.318388,120.550547,0.29418351,0.787309195,0.2537613,0.023464007,1,1,1,1,0,0,1
Bare mudflat,24.178538,120.509813,0.323883729,0.428126886,0.16891892,0.006681896,1,1,0,1,0,1,0
Mangroves,23.449258,120.179553,0.423268903,0.645233137,0.38360116,0.116076764,0,0,0,1,1,0,0
Bare mudflat,24.299295,120.545959,0.230043796,0.269246872,0.09239408,0.001040646,1,0,1,0,0,0,0
Bare mudflat,24.179282,120.508717,0.278402525,0.509353448,0.17540984,0.006681896,0,0,1,0,0,1,0
Bare mudflat,23.9312204,120.3142941,0.254128128,0.413202546,0.19950227,0.168372473,1,1,0,1,0,0,0
Poaceae,24.31931389,120.5516528,0.303463447,0.5596,0.399603202,0.098298115,0,0,0,1,0,0,0
Bare mudflat,23.89995,120.300017,0.515064637,0.1678275,0.397107086,0.004538246,0,0,0,0,0,0,1
Bare mudflat,24.298843,120.545801,0.264853471,0.313763506,0.04942966,0.005864349,1,0,1,0,0,1,0
Bare mudflat,24.19055173,120.5147258,0.303463447,0.3996,0.393161469,0.000691075,0,1,0,1,0,0,0
Mangroves,24.194497,120.506153,0.282944976,0.337889085,0.25135624,0.087035979,0,1,0,1,1,0,0
Mangroves,23.450544,120.179604,0.325417441,0.333437841,0.40226415,0.11405424,0,1,0,1,1,0,0
Bare mudflat,24.30706,120.54822,0.326473191,0.355349075,0.376584227,0.098298115,1,1,0,0,0,0,0
Bare mudflat,24.179917,120.472917,0.32477632,0.3142,0.365873075,0.00134753,0,1,0,0,0,0,1
Poaceae,24.316929,120.550032,0.346640148,0.263526715,-0.015983323,0.023464007,0,1,0,0,0,0,1
Bare mudflat,24.16893,120.51639,0.4541,0.147772154,0.358611801,0.098298115,1,1,0,0,0,0,0
Sporobolus spp,24.194172,120.506619,0.277647883,0.641942259,0.33573034,0.016116505,1,1,0,1,0,0,0
Sporobolus spp,24.311234,120.550071,0.349384604,0.4764809,0.21428572,0.098298115,1,1,1,0,0,1,0
Bare mudflat,24.189033,120.48,0.285483944,0.1076,0.354743637,0.005173848,0,0,0,0,0,0,1
Poaceae,24.318582,120.550494,0.287342516,0.431989964,0.15711252,0.023464007,1,1,0,1,0,0,1
Bare mudflat,24.196467,120.505783,0.494660156,0.3966,0.352098642,0.00134753,0,1,0,0,0,0,1
Sporobolus spp,24.323567,120.551849,0.283198809,0.271028713,0.17087102,0.002120587,0,1,0,1,0,0,1
Bare mudflat,24.19545,120.486183,0.308854632,0.0748,0.345308357,0.00134753,0,0,0,0,0,0,0
Bare mudflat,24.370324,120.581358,0.250632558,0.35998034,0.16767189,0.09351215,0,1,0,0,0,0,1
Bare mudflat,24.207017,120.483233,0.250174676,0.1136,0.33592964,0.00134753,1,0,0,0,0,0,0
Bare mudflat,24.162733,120.4648,0.225733172,0.2778,0.334137638,0.00134753,1,1,0,0,0,1,0
Bare mudflat,24.16645,120.46182,0.3147,0.063663723,0.331525902,0.007704749,1,0,0,0,0,0,0
Bare mudflat,24.164983,120.46655,0.289411323,0.4384,0.331118329,0.005173848,1,1,0,0,0,0,0
Poaceae,24.318914,120.549598,0.30318931,0.299899778,0.30165288,0.040531866,0,1,0,1,1,0,1
Bare mudflat,23.4595,120.17608,0.285,0.98,0.326512795,0.098298115,0,0,0,0,0,1,0
Sporobolus spp,24.370419,120.581202,0.27076052,0.263828011,0.17278747,0.107416323,1,1,0,1,0,0,0
Bare mudflat,24.370349,120.581262,0.247156876,0.257060937,0.24971494,0.09351215,1,1,0,0,0,1,1
Bare mudflat,24.17828,120.50999,0.4104,0.173656713,0.316651519,0.000691075,0,1,0,0,0,1,0
Bare mudflat,24.1606,120.463017,0.229968271,0.159,0.316627364,0.00134753,1,1,0,0,0,0,0
Bare mudflat,24.32343,120.55228,0.27318281,0.0160925,0.316436044,0.00147646,0,0,0,0,1,0,0
Bare mudflat,24.32437,120.55209,0.233809609,0.061520082,0.310939967,0.054712542,1,0,0,0,0,0,0
Mangroves,24.31971944,120.5506111,0.303463447,0.4796,0.309161311,0.025829535,0,0,0,0,1,0,0
Bare mudflat,24.372093,120.579514,0.241275885,0.305534079,0.035551503,0.006499143,1,0,0,0,0,0,1
Mangroves,24.301484,120.545604,0.452209934,0.157345919,0.2779747,0.091540157,1,1,0,1,0,0,0
Mangroves,24.301249,120.545834,0.260893577,0.570649292,0.32009456,0.091540157,1,1,0,1,0,0,0
Poaceae,24.323611,120.552562,0.363948312,0.405499731,0.1639136,0.013687561,1,0,0,1,0,0,0
Poaceae,24.320663,120.550438,0.559049077,0.391600788,0.24352331,0.022604226,0,1,0,1,0,1,0
Bare mudflat,24.163899,120.465582,0.323577474,0.496904424,0.13441373,0.001341128,1,1,1,0,0,1,0
Bare mudflat,24.178954,120.509667,0.28021323,0.495445262,0.26857144,0.006681896,1,1,1,1,0,1,0
Poaceae,24.302319,120.545658,0.416991931,0.163098772,0.3231123,0.028931683,1,1,0,1,0,0,0
Bare mudflat,24.3231,120.55158,0.257938297,0.172275631,0.292509038,0.00865559,1,1,0,0,0,0,0
Sporobolus spp,24.31515278,120.550475,0.303463447,0.1336,0.292427587,0.098298115,1,1,0,1,0,0,0
Poaceae,24.323527,120.552543,0.287687721,0.376627229,0.27896994,0.098298115,1,1,0,1,0,1,0
Sporobolus spp,24.314962,120.550256,0.344915026,0.299027229,0.250501,0.098298115,1,1,1,1,0,0,0
Bare mudflat,24.66851,120.83797,0.303463447,0.731479925,0.28602692,0.015401115,1,0,0,0,0,0,0
Poaceae,24.32151,120.550561,0.304354948,0.316226533,0.2360406,0.022604226,1,1,0,1,0,0,0
Bare mudflat,24.31407,120.54986,0.338562424,0.291775282,0.281965259,0.098298115,1,1,1,0,0,0,0
Bare mudflat,23.3436,120.1203,0.303463447,0.08,0.33880556,0.00431433,1,0,0,0,0,0,0
Bare mudflat,24.311019,120.549931,0.34706708,0.3259607,0.21039604,0.098298115,1,0,1,0,0,1,0
Sporobolus spp,24.315346,120.550175,0.401188038,0.444611913,0.23303168,0.098298115,0,1,0,1,1,0,0
Sporobolus spp,24.323835,120.551748,0.272878117,0.346888411,0.25813848,0.052223751,1,1,1,1,0,1,0
Bare mudflat,24.31178,120.54945,0.357764046,0.317300582,0.272547937,0.098298115,1,1,0,0,0,0,0
Bolboschoenus planieulmis,24.30643333,120.5470806,0.303463447,0.2426,0.270388578,0.048679116,1,1,0,0,0,0,0
Mangroves,23.448819,120.179433,0.458843975,0.505265749,0.05882353,0.285842335,0,0,0,1,0,0,0
Bare mudflat,23.902317,120.3015,0.539013921,0.56143325,0.267280875,0.004538246,0,0,0,0,0,0,1
Sporobolus spp,24.30624722,120.5484,0.303463447,0.1626,0.267048231,0.098298115,1,1,0,1,0,1,0
Sporobolus spp,24.164495,120.466286,0.086924861,0.690377983,0.11298482,0.006681896,0,1,0,1,0,1,0
Sporobolus spp,24.309229,120.549316,0.316026201,0.36414287,0.10608914,0.098298115,1,1,0,1,0,0,0
Bolboschoenus planieulmis,24.32279167,120.5506139,0.303463447,0.0996,0.261852679,0.068225261,1,1,0,0,1,1,0
Bare mudflat,24.397704,120.594298,0.298844844,0.241913557,0.14473684,0.006499143,1,1,0,0,0,0,0
Sporobolus spp,24.302113,120.545774,0.273143481,0.301121703,0.21813516,0.018500688,1,1,0,1,0,1,0
Bare mudflat,24.193867,120.482583,0.264501885,0.0796,0.256774981,0.00134753,0,0,0,0,0,0,1
Sporobolus spp,24.194614,120.505703,0.250176132,0.072202592,0.19531953,0.087035979,1,0,0,0,0,0,0
Sporobolus spp,24.164751,120.466487,0.276902026,0.558366931,0.23858921,0.006681896,0,1,0,1,0,1,0
Sporobolus spp,24.163635,120.465576,0.245346757,0.380768284,0.20745131,0.001341128,0,1,0,1,0,0,0
Bare mudflat,24.18945,120.49787,0.2048,0.185616001,0.249472977,0.098298115,1,1,0,0,0,1,1
Bare mudflat,24.782611,120.90425,0.303463447,0.6845,0.245729875,0.459613045,0,0,0,0,0,0,1
Bare mudflat,24.782055,120.90388,0.303463447,0.5789,0.24472887,0.493167458,0,1,0,0,0,0,1
Bare mudflat,24.30623,120.5478,0.285548987,0.1536,0.243815639,0.00147646,1,1,0,0,0,0,0
Mangroves,24.03809,120.374297,0.109606944,0.003491437,0.20803782,0.09681325,0,0,0,0,0,0,0
Bolboschoenus planieulmis,24.32361389,120.5518222,0.303463447,0.0736,0.242438333,0.00865559,1,0,0,1,0,0,0
Bolboschoenus planieulmis,24.778102,120.913997,0.360826299,0.314146557,0.1296505,0.008243226,1,1,0,1,0,0,1
Bolboschoenus planieulmis,24.77949,120.914313,0.40276417,0.380664173,0.12,0.008243226,1,1,0,1,0,0,1
Bare mudflat,23.935041,120.319243,0.425763956,0.624545764,0.36664218,0.098298115,0,0,0,1,1,0,0
Mangroves,23.935041,120.319243,0.448716996,0.8268861,0.36664218,0.098298115,0,1,0,1,1,0,0
Bare mudflat,24.32605,120.55177,0.238622747,0.076712764,0.233808978,0.05537421,1,1,0,0,0,0,0
Poaceae,24.321613,120.550146,0.410189104,0.317928605,0.23,0.022604226,0,1,0,1,0,0,1
Sporobolus spp,24.319393,120.549618,0.29720643,0.316756108,0.09464082,0.052223751,0,1,0,1,0,0,1
Poaceae,24.320323,120.55027,0.540806209,0.425236773,0.21495327,0.022604226,0,1,0,1,0,0,0
Bare mudflat,24.422367,120.612267,0.217523007,0.1984,0.226416004,0.004537515,0,0,0,0,0,0,0
Bare mudflat,24.31228,120.5486,0.294398951,0.1850805,0.074048445,0.062127464,1,1,0,0,0,0,0
Bare mudflat,24.194,120.49018,0.2521,0.047840216,0.224626149,0.000691075,1,0,0,0,0,0,0
Bare mudflat,23.885633,120.292083,0.761535681,0.4336,0.223674177,0.004538246,0,0,0,0,0,0,1
Bare mudflat,24.784027,120.90502,0.303463447,0.6887,0.222220062,0.454146227,1,1,0,0,0,0,1
Bare mudflat,24.34413,120.5604,0.166083412,0.0366,0.219986594,0.098298115,0,0,0,0,0,0,0
Sporobolus spp,24.164131,120.466114,0.36418749,0.542615898,0.25948718,0.006681896,0,1,0,1,1,1,0
Poaceae,24.323172,120.550409,0.266086232,0.126894623,0.29828572,0.022604226,1,1,0,1,0,0,0
Poaceae,24.323323,120.5507,0.29007012,0.267143498,0.1592233,0.022604226,1,1,0,1,0,0,0
Bare mudflat,24.32203,120.55085,0.355681447,0.126387727,0.215460416,0.04169975,1,1,0,0,0,0,0
Sporobolus spp,24.320075,120.549857,0.270793904,0.336444486,0.09006929,0.023464007,1,1,0,0,0,0,1
Bare mudflat,24.783194,120.90472,0.303463447,0.6629,0.214493154,0.461430085,0,0,0,0,0,0,1
Sporobolus spp,24.163797,120.465732,0.313663027,0.686678502,0.15551366,0.001341128,1,1,0,0,0,1,0
Bare mudflat,24.179398,120.509387,0.297124439,0.383474734,0.109144546,0.006681896,1,1,1,0,0,1,0
Sporobolus spp,24.780362,120.914299,0.260136867,0.087893846,0.13235295,0.039346139,1,0,0,1,0,0,1
Bare mudflat,24.195967,120.483967,0.330318064,0.0736,0.211953613,0.00134753,0,0,0,0,0,0,0
Poaceae,24.318899,120.549947,0.314048851,0.524443018,0.047051817,0.062127464,1,1,0,1,0,0,0
Poaceae,24.318782,120.549855,0.34782311,0.440054778,0.001231527,0.062127464,0,1,0,1,0,0,1
Bare mudflat,24.66453,120.83751,0.303463447,0.490481684,0.20965751,0.001146601,1,0,1,0,0,0,0
Bare mudflat,24.31256,120.54945,0.293833926,0.129152951,0.209417564,0.098298115,1,0,0,0,0,0,0
Bare mudflat,24.205433,120.4879,0.236884796,0.0736,0.209340811,0.00134753,0,1,0,0,0,0,1
Poaceae,24.323196,120.551192,0.343426824,0.158699395,0.28772146,0.022604226,1,1,0,1,0,0,0
Mangroves,24.300604,120.545538,0.332601989,0.169063951,-0.00597213,0.091540157,1,1,0,1,0,0,0
Bolboschoenus planieulmis,24.309779,120.547765,0.207903308,0.20816374,0.2146974,0.072335808,1,0,0,0,0,0,1
Sporobolus spp,24.30621389,120.5481278,0.303463447,0.2796,0.206775619,0.098298115,1,1,0,0,0,1,0
Bare mudflat,24.309717,120.549331,0.344675812,0.334424398,0.13585156,0.098298115,1,1,1,0,0,0,0
Bare mudflat,23.856983,120.261617,0.316540913,0.359,0.204421232,0.004538246,1,1,0,0,0,0,0
Bare mudflat,24.206683,120.48895,0.373948653,0.3536,0.201033375,0.00134753,0,1,0,0,0,0,0
Sporobolus spp,24.315822,120.550641,0.420858272,0.497488737,0.21845575,0.098298115,0,1,0,1,0,0,0
Mangroves,24.19666659,120.50417,0.303463447,0.4396,0.199886923,0.116963192,1,1,0,1,1,0,1
Sporobolus spp,24.782198,120.914638,0.256526023,0.055926801,0.056869652,0.008243226,1,0,0,0,0,0,1
Bare mudflat,24.19331,120.48184,0.2501,0.044963335,0.196133125,0.000691075,1,0,0,0,0,0,0
Poaceae,24.320994,120.550442,0.268131769,0.434297671,0.15625,0.022604226,1,1,0,1,0,1,0
Bare mudflat,24.311905,120.549758,0.291473371,0.4770705,0.12117503,0.098298115,1,1,1,0,0,0,0
Bare mudflat,24.311,120.54984,0.36344053,0.28296781,0.192744463,0.098298115,1,0,0,0,0,0,0
Bare mudflat,24.178699,120.510521,0.298630118,0.512327743,0.115926325,0.006681896,1,1,0,1,0,1,1
Bare mudflat,24.426722,120.617927,0.50800497,0.162923656,0.075561605,0.014723015,1,1,0,0,0,0,0
Sporobolus spp,24.323255,120.549587,0.267743137,0.031340969,-0.04,0.052223751,1,0,0,0,0,0,0
Bolboschoenus planieulmis,24.776913,120.913764,0.256168037,0.150259333,0.037844036,0.099694695,1,0,0,0,0,0,0
Bare mudflat,24.398161,120.594056,0.316488122,0.008968033,0.08088889,0.006499143,0,0,0,0,0,0,0
Poaceae,24.321272,120.550146,0.280288192,0.349049777,0.24297924,0.022604226,0,1,0,1,0,0,1
Bare mudflat,23.326088,120.139317,0.267834478,0.566219403,0.27157003,0.00478051,0,1,1,1,1,0,1
Sporobolus spp,24.185526,120.505927,0.303568103,0.695380323,0.1328374,0.091524843,1,1,0,1,0,0,0
Bare mudflat,24.179917,120.46755,0.317233015,0.0366,0.186948079,0.005173848,0,0,0,0,0,0,0
Bolboschoenus planieulmis,24.323427,120.551202,0.252798434,0.247002842,0.12519006,0.056354065,1,1,0,0,1,0,0
Sporobolus spp,24.314896,120.549744,0.377084163,0.37990701,0.1437037,0.022604226,0,1,0,1,1,0,1
Bare mudflat,24.67343,120.83056,0.303463447,0.138732683,0.180670704,0.001146601,1,1,1,0,0,0,0
Bare mudflat,24.16569,120.46645,0.2902,0.438001547,0.179516038,0.000691075,1,1,0,0,0,0,0
Sporobolus spp,24.310264,120.549412,0.277340009,0.562111674,0.108829565,0.032049519,1,1,0,1,0,1,0
Bare mudflat,24.391233,120.588067,0.251972026,0.0031995,0.177517777,0.001280985,0,0,0,0,0,0,0
Bare mudflat,24.31528,120.5501,0.301764428,0.082871532,0.177124502,0.068387002,1,1,0,0,0,0,0
Sporobolus spp,24.163907,120.465052,0.320506267,0.592591757,0.0349947,0.040187987,0,1,0,1,0,0,0
Bare mudflat,24.397717,120.5921,0.144250456,0.0536,0.174242793,0.001280985,0,0,0,0,0,0,0
Sporobolus spp,24.179419,120.510621,0.378920795,0.561439753,0.14350797,0.006681896,1,1,0,1,0,1,0
Sporobolus spp,24.179415,120.510147,0.323860044,0.691405092,0.19337016,0.031639063,0,1,0,1,0,1,0
Bare mudflat,23.878483,120.2881,0.693740627,0.3536,0.171859378,0.004538246,0,0,0,0,0,0,1
Sporobolus spp,24.314546,120.549255,0.41379779,0.271898116,0.22180916,0.072335808,0,0,0,1,0,0,0
Poaceae,24.322041,120.549937,0.666942724,0.308181276,0.19851117,0.022604226,0,1,0,1,0,1,1
Poaceae,24.322242,120.549735,0.32475618,0.4128081,0.14023592,0.022604226,0,1,0,1,0,0,1
Poaceae,24.159302,120.454138,0.2789,0.0136,-0.002963841,0.244368266,1,0,0,1,0,0,0
Sporobolus spp,24.207536,120.481595,0.240422244,0.147549452,0.119019836,0.001341128,1,1,1,0,0,0,0
Bolboschoenus planieulmis,24.318845,120.549214,0.286462345,0.401626236,0,0.079246145,1,1,0,1,0,0,1
Bare mudflat,24.32121,120.55044,0.402686608,0.241501416,0.16890243,0.068597755,1,1,0,0,0,0,0
Bare mudflat,24.200267,120.492533,0.319422617,0.3136,0.167964796,0.103963567,0,1,0,0,0,0,0
Bare mudflat,24.30895,120.549,0.361530721,0.150881984,0.167023336,0.098298115,1,0,0,0,0,0,0
Poaceae,24.323916,120.552579,0.27915833,0.373077805,0.098121084,0.013687561,1,1,0,1,0,0,0
Bare mudflat,24.776316,120.913766,0.251004133,0.300358545,0.03377386,0.032247806,1,0,0,0,0,0,1
Bare mudflat,24.197167,120.501567,0.358648149,0.4954,0.161091052,0.23919065,0,1,0,0,0,0,0
Bare mudflat,23.3169,120.1462,0.303463447,0.37,0.05388128,0.00431433,1,1,1,0,0,0,0
Mangroves,24.162842,120.464695,0.339072579,0.546962227,0.09177366,0.074587345,0,1,0,1,0,0,0
Bare mudflat,24.31651,120.55006,0.344634119,0.154289251,0.157633571,0.068387002,1,1,0,0,0,0,0
Bare mudflat,23.226016,120.085657,0.252924045,0.111190005,0.067128025,0.63395967,1,0,0,0,0,0,0
Bare mudflat,24.179778,120.510145,0.286732667,0.766382452,0.102792636,0.006681896,0,1,1,1,0,1,0
Bare mudflat,24.198614,120.4977739,0.303463447,0.3396,0.152143518,0.133980297,1,1,0,0,1,0,0
Bare mudflat,24.18984,120.50143,0.3001,0.178521138,0.150594847,0.098298115,0,1,0,1,0,0,0
Bare mudflat,23.32547,120.139343,0.247326343,0.488204178,0.2169014,0.00478051,1,1,1,0,0,0,0
Bare mudflat,24.426951,120.618173,0.287725934,0.043902723,0.120718695,0.014723015,1,1,0,0,0,1,0
Mangroves,23.448139,120.179279,0.285135635,0.343506547,0.036231883,0.242645369,1,1,0,1,0,1,0
Bare mudflat,23.89785,120.298467,0.492070658,0.3536,0.148226717,0.004538246,0,0,0,0,0,0,1
Bare mudflat,23.881367,120.2888,0.77249136,0.3936,0.147595254,0.004538246,0,0,0,0,0,0,1
Bolboschoenus planieulmis,24.32359444,120.5507278,0.303463447,0.0696,0.14726217,0.145537421,0,0,0,0,0,0,0
Bolboschoenus planieulmis,24.781425,120.914258,0.276532441,0.314711114,0.0744404,0.086833736,1,1,0,1,0,0,1
Bare mudflat,24.196683,120.502967,0.415528698,0.6784,0.146789294,0.291607054,0,1,0,0,0,0,0
Bare mudflat,24.768936,120.901309,0.341422071,0.220089611,0.003984064,0.507238265,1,0,0,0,0,0,0
Bare mudflat,24.18477,120.47727,0.2504,0.002741152,0.145395069,0.015174239,1,0,0,0,0,0,0
Sporobolus spp,24.1858,120.5057,0.311133789,0.4048361,0.1010101,0.143655054,0,1,0,1,0,0,1
Bare mudflat,24.7967,120.9127,0.303463447,0.1964977,0.143268293,0.126557776,1,1,0,0,0,0,1
Sporobolus spp,24.164518,120.460549,0.243416669,0.272533874,0.26780882,0.013112507,1,1,0,1,0,0,0
Poaceae,24.159271,120.455784,0.2597,0.0274,-0.036942676,0.161287953,1,1,0,0,1,0,1
Poaceae,24.31912,120.549907,0.352547343,0.558590707,0.021634616,0.052223751,1,1,0,1,0,0,1
Bolboschoenus planieulmis,24.31915,120.549891,0.251582755,0.165913381,0.032563645,0.052223751,1,1,1,1,0,0,0
Bare mudflat,24.163382,120.46491,0.391648806,0.550259481,0.08744395,0.040187987,1,1,0,0,0,1,0
Bare mudflat,24.768815,120.902676,0.310472764,0.278784416,0.06198574,0.465640504,1,0,0,0,0,0,0
Bare mudflat,24.32075833,120.5502472,0.303463447,0.1136,0.137670295,0.068387002,1,0,0,1,1,0,0
Bare mudflat,24.39555,120.590283,0.299524796,0.0966,0.137420105,0.001280985,0,0,0,0,0,0,0
Bolboschoenus planieulmis,24.31506389,120.5489806,0.303463447,0.0936,0.136599298,0.068387002,1,0,0,0,0,0,1
Bare mudflat,24.68831,120.84474,0.303463447,0.00519948,0.135979522,0.001146601,0,0,0,0,0,0,0
Bare mudflat,24.299866,120.545479,0.474839986,0.374888823,0.016055046,0.001040646,1,1,0,0,0,0,0
Bare mudflat,24.03898,120.374377,0.321280721,0.013393487,-0.010204081,0.008612222,0,0,0,0,0,0,0
Bare mudflat,24.184283,120.471233,0.339485002,0.2766,0.134065513,0.113957744,1,1,0,0,0,0,0
Bare mudflat,24.362165,120.572822,0.2744033,0.007071173,0.02225219,0.344085282,0,0,0,0,0,0,0
Sporobolus spp,24.185143,120.507204,0.36985999,0.46932011,0.09557109,0.10720731,1,1,0,1,0,0,0
Bare mudflat,24.782416,120.91319,0.303463447,0.1025,0.007253886,0.169221997,0,0,0,0,0,0,1
Bare mudflat,24.782425,120.913207,0.303463447,0.1129,0.007253886,0.169221997,0,0,0,0,0,0,0
Bare mudflat,24.782916,120.91322,0.303463447,0.263,0.013748854,0.242232641,0,0,0,0,0,0,1
Bare mudflat,24.782917,120.913222,0.303463447,0.1191,0.013748854,0.242232641,0,0,0,0,0,0,1
Bolboschoenus planieulmis,24.76664,120.910797,0.28993046,0.230460703,0.032979317,0.143365984,0,0,0,0,0,0,1
Bare mudflat,24.30973,120.54926,0.326938688,0.137188109,0.131554374,0.098298115,1,0,1,0,0,0,0
Sporobolus spp,24.18277,120.470346,0.261150101,0.622413021,0.14711137,0.076790405,0,1,0,1,0,0,0
Poaceae,24.161828,120.46195,0.3502,0.0273,-0.04,0.228072968,0,1,0,1,1,0,0
Poaceae,24.161833,120.461594,0.2386,0.0201,-0.030789826,0.228072968,0,0,0,0,0,0,0
Bare mudflat,23.729448,120.172481,0.318620092,0.178280945,-0.01618929,0.387873774,0,0,0,0,0,0,0
Bare mudflat,24.32625,120.55016,0.335673674,0.0978,0.129456614,0.376081351,0,0,0,0,0,0,0
Bare mudflat,23.875783,120.287533,0.657370081,0.3136,0.128221926,0.004538246,0,0,0,0,0,0,1
Sporobolus spp,24.179807,120.509867,0.237441945,0.731608306,0.12492869,0.006681896,0,1,0,1,0,1,0
Bare mudflat,24.32308611,120.5482722,0.303463447,0.0796,0.126548024,0.10695486,0,0,0,0,0,0,0
